id,nombre,lider_id,estado,created_at,planned_route,planned_steps,origin_name,destination_name,origin_lat,origin_lon,destination_lat,destination_lon,planned_distance_km,planned_duration_min,drive_folder_url
25UT,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-23 00:06:27.078352+00,,,,,,,,,,,
2A32,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-16 00:17:19.084713+00,,,,,,,,,,,
2YQD,ceja,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-10 22:07:16.272904+00,,,,,,,,,,,
2YVN,poll,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-13 00:35:05.681557+00,,,,,,,,,,,
33CE,caaa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-15 14:24:01.354962+00,,,,,,,,,,,
386VGD,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-19 22:08:56.127992+00,,,,,,,,,,,
38FT,mutata,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-21 20:43:12.96317+00,,,,,,,,,,,
3LEV,barbosa,479c1f50-0d12-48e2-8eec-2c38a46c604b,finalizada,2026-08-05 21:59:47.289248+00,,,,,,,,,,,
4AMD,almac,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-14 13:13:34.183163+00,,,,,,,,,,,
573E,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-15 23:48:51.07931+00,,,,,,,,,,,
59KU,jdndbd,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-11 20:03:37.27057+00,,,,,,,,,,,
5CYB,San carlos,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-16 14:43:23.071828+00,,,,,,,,,,,
5WENFE,cas,ae17b979-507b-44fd-87d3-ee8d742adb13,finalizada,2026-07-16 23:32:32.078858+00,,,,,,,,,,,
5XDR,CC asaq,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-12 18:22:04.070514+00,,,,,,,,,,,
67LCJG,al,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-18 14:18:52.454392+00,,,,,,,,,,,
6LVC,alamcen,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-22 13:15:18.19679+00,,,,,,,,,,,
6V35,San rafael,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-21 22:14:22.359124+00,,,,,,,,,,,
76YPCD,cas,ae17b979-507b-44fd-87d3-ee8d742adb13,finalizada,2026-07-19 01:04:35.95382+00,,,,,,,,,,,
7K6S,barbisa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-09 00:10:15.346227+00,,,,,,,,,,,
8CM9,cada,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-22 00:01:16.65075+00,,,,,,,,,,,
8P4NAT,gustne,ae17b979-507b-44fd-87d3-ee8d742adb13,finalizada,2026-07-30 17:54:56.627659+00,,,,,,,,,,,
934WNS,alma,ae17b979-507b-44fd-87d3-ee8d742adb13,finalizada,2026-07-17 12:56:52.571081+00,,,,,,,,,,,
9XWP,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-10 19:47:45.775853+00,,,,,,,,,,,
ACBLAA,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-07-19 19:56:36.797302+00,,,,,,,,,,,
AKJ4,pA,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-14 23:22:19.899052+00,,,,,,,,,,,
AY7W,casaq,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-12 15:42:31.991929+00,,,,,,,,,,,
BENC,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-09-12 00:24:43.320282+00,,,,,,,,,,,
BHA2,casa,51980b91-e2de-4698-ad81-4d40cabe47b1,finalizada,2026-08-14 00:41:36.818088+00,,,,,,,,,,,
